ticker,window_start,open,close,high,low,volume,transactions
QQQ,1772030820000000000,614.68,614.88,615.11,614.57,382481.227824,7428
QQQ,1772030880000000000,614.902,614.98,614.985,614.53,645725.387302,6460
QQQ,1772030940000000000,615,614.9,615.18,614.89,219980.388031,4422
QQQ,1772031000000000000,614.91,615.05,615.165,614.82,244615.448665,4561
QQQ,1772031060000000000,615.06,615.4099,615.6,615.015,280826.251504,5415
QQQ,1772031120000000000,615.42,615.0201,615.48,615.02,292024.514707,4528
QQQ,1772031180000000000,615.06,615.19,615.41,614.92,236629.979612,4504
QQQ,1772031240000000000,615.2,615.28,615.4,615.1,203401.353595,3934
QQQ,1772031300000000000,615.29,615.28,615.42,615.22,210362.575194,4098
QQQ,1772031360000000000,615.28,615,615.33,614.84,299893.630851,5481
QQQ,1772031420000000000,615.025,615.02,615.08,614.58,236746.270505,4591
QQQ,1772031480000000000,615.03,615.52,615.6599,615,274760.811837,5340
QQQ,1772031540000000000,615.53,615.48,615.63,615.18,226100.343311,4402
QQQ,1772031600000000000,615.47,615.45,615.89,615.38,478730.605793,6243
QQQ,1772031660000000000,615.46,615.54,615.74,615.39,141960.098484,3483
QQQ,1772031720000000000,615.55,615.5,615.7,615.27,161676.698376,3485
QQQ,1772031780000000000,615.51,615.38,615.59,615.35,157417.893939,3725
QQQ,1772031840000000000,615.4,615.27,615.58,615.27,145091.967074,3164
QQQ,1772031900000000000,615.28,615.27,615.39,615.15,151855.293351,3350
QQQ,1772031960000000000,615.26,614.95,615.49,614.95,193649.725975,3824
QQQ,1772032020000000000,614.94,614.76,615.055,614.65,284115.903411,5073
QQQ,1772032080000000000,614.77,614.93,615.1899,614.71,199299.644236,4120
QQQ,1772032140000000000,614.93,614.86,615.16,614.795,154759.27366,3465
QQQ,1772032200000000000,614.86,614.585,614.98,614.585,133559.955917,3118
QQQ,1772032260000000000,614.59,614.82,614.931,614.52,112881.686362,2880
QQQ,1772032320000000000,614.82,614.79,615.03,614.69,139776.779546,3465
QQQ,1772032380000000000,614.82,614.71,614.86,614.63,123479.831394,3064
QQQ,1772032440000000000,614.71,614.635,614.81,614.58,243531.818086,2955
QQQ,1772032500000000000,614.63,614.55,614.77,614.4802,135427.898584,3235
QQQ,1772032560000000000,614.57,614.24,614.58,614.1,262942.254545,4718
QQQ,1772032620000000000,614.24,614.5558,614.645,614.19,185745.775592,3659
QQQ,1772032680000000000,614.56,614.47,614.62,614.35,153902.274497,9602
QQQ,1772032740000000000,614.49,614.4,614.56,614.19,160169.948504,3264
